customer_id,common_issues,last_contact_date,issue_status
CUST001,overdraft_fees,2024-01-15,resolved
CUST002,password_reset,2024-01-14,resolved
CUST003,insufficient_funds,2024-01-13,resolved
CUST004,payment_issues,2024-01-12,resolved
CUST005,wire_transfer,2024-01-11,resolved
CUST006,fraud_alert,2024-01-10,resolved
CUST007,interest_rates,2024-01-09,resolved
CUST008,mobile_app_issues,2024-01-08,resolved
CUST009,rewards_program,2024-01-07,resolved
CUST010,atm_fees,2024-01-06,resolved
CUST011,loan_application,2024-01-05,resolved
CUST012,check_deposit,2024-01-04,resolved
CUST013,account_transfer,2024-01-03,resolved
CUST014,debit_card_issues,2024-01-02,resolved
CUST015,credit_limit_increase,2024-01-01,resolved
CUST016,bill_pay_setup,2023-12-31,resolved
CUST017,merchant_services,2023-12-30,resolved
CUST018,cd_rates,2023-12-29,resolved
CUST019,overdraft_protection,2023-12-28,resolved
CUST020,online_banking,2023-12-27,resolved
CUST021,balance_transfer,2023-12-26,resolved
CUST022,withdrawal_limits,2023-12-25,resolved
CUST023,check_ordering,2023-12-24,resolved
CUST024,investment_advice,2023-12-23,resolved
CUST025,direct_deposit,2023-12-22,resolved
CUST026,card_replacement,2023-12-21,resolved
CUST027,payment_plan,2023-12-20,resolved
CUST028,interest_calculation,2023-12-19,resolved
CUST029,account_statement,2023-12-18,resolved
CUST030,payroll_services,2023-12-17,resolved
CUST031,atm_locations,2023-12-16,resolved
CUST032,account_beneficiary,2023-12-15,resolved
CUST033,fraud_protection,2023-12-14,resolved
CUST034,check_cashing,2023-12-13,resolved
CUST035,overdraft_fees,2023-12-12,resolved
CUST036,business_loan,2023-12-11,resolved
CUST037,withdrawal_restrictions,2023-12-10,resolved
CUST038,mobile_deposit,2023-12-09,resolved
CUST039,rewards_redemption,2023-12-08,resolved
CUST040,account_freeze,2023-12-07,resolved
CUST041,merchant_account,2023-12-06,resolved
CUST042,cd_maturity,2023-12-05,resolved
CUST043,insufficient_funds,2023-12-04,resolved
CUST044,online_transfer,2023-12-03,resolved
CUST045,credit_report,2023-12-02,resolved
CUST046,account_closing,2023-12-01,resolved
CUST047,check_verification,2023-11-30,resolved
CUST048,investment_services,2023-11-29,resolved
CUST049,atm_fees,2023-11-28,resolved
CUST050,account_alerts,2023-11-27,resolved
ADMIN001,system_management,2024-01-01,resolved
